"12.13.14.0","12.13.14.255","202182144","202182399","GB","United Kingdom"
"12.13.15.0","12.35.150.223","202182400","203658975","US","United States"
"12.35.150.224","12.35.150.239","203658976","203658991","VI","Virgin Islands, U.S."
"12.35.150.240","12.41.133.255","203658992","204047871","US","United States"
"12.41.134.0","12.41.134.127","204047872","204047999","PR","Puerto Rico"
"12.41.134.128","12.41.134.159","204048000","204048031","US","United States"
"12.41.134.160","12.41.134.175","204048032","204048047","PR","Puerto Rico"
"12.41.134.176","12.106.120.255","204048048","208304383","US","United States"
"12.106.121.0","12.106.121.255","208304384","208304639","CA","Canada"
"12.106.122.0","12.131.35.255","208304640","209921023","US","United States"
"12.131.36.0","12.131.36.255","209921024","209921279","AU","Australia"
"12.131.37.0","12.164.45.255","209921280","212086271","US","United States"
"12.164.46.0","12.164.46.255","212086272","212086527","AR","Argentina"
"12.164.47.0","12.174.242.23","212086528","212791831","US","United States"
"12.174.242.24","12.174.242.31","212791832","212791839","VI","Virgin Islands, U.S."
"12.174.242.32","12.204.8.255","212791840","214698239","US","United States"
"12.204.9.0","12.204.9.15","214698240","214698255","VI","Virgin Islands, U.S."
"12.204.9.16","12.204.9.63","214698256","214698303","US","United States"
"12.204.9.64","12.204.9.71","214698304","214698311","VI","Virgin Islands, U.S."
"12.204.9.72","12.205.63.255","214698312","214777855","US","United States"
"12.205.64.0","12.205.83.255","214777856","214782975","PR","Puerto Rico"
"12.205.84.0","12.205.101.255","214782976","214787583","US","United States"
"12.205.102.0","12.205.102.127","214787584","214787711","PR","Puerto Rico"
"12.205.102.128","12.205.102.255","214787712","214787839","US","United States"
"12.205.103.0","12.205.103.255","214787840","214788095","PR","Puerto Rico"
"12.205.104.0","13.16.137.9","214788096","219187465","US","United States"
