"129.0.0.0","129.0.255.255","2164260864","2164326399","CM","Cameroon"
"129.1.0.0","129.10.255.255","2164326400","2164981759","US","United States"
"129.11.0.0","129.12.255.255","2164981760","2165112831","GB","United Kingdom"
"129.13.0.0","129.13.255.255","2165112832","2165178367","DE","Germany"
"129.14.0.0","129.15.255.255","2165178368","2165309439","US","United States"
"129.16.0.0","129.16.255.255","2165309440","2165374975","SE","Sweden"
"129.17.0.0","129.17.255.255","2165374976","2165440511","US","United States"
"129.18.0.0","129.18.255.255","2165440512","2165506047","NG","Nigeria"
"129.19.0.0","129.19.255.255","2165506048","2165571583","US","United States"
"129.20.0.0","129.20.255.255","2165571584","2165637119","FR","France"
"129.21.0.0","129.25.255.255","2165637120","2165964799","US","United States"
"129.26.0.0","129.26.255.255","2165964800","2166030335","DE","Germany"
"129.27.0.0","129.27.255.255","2166030336","2166095871","AT","Austria"
"129.28.0.0","129.30.255.255","2166095872","2166292479","US","United States"
"129.31.0.0","129.31.255.255","2166292480","2166358015","GB","United Kingdom"
"129.32.0.0","129.33.191.255","2166358016","2166472703","US","United States"
"129.33.192.0","129.33.195.255","2166472704","2166473727","CA","Canada"
"129.33.196.0","129.35.63.255","2166473728","2166571007","US","United States"
"129.35.64.0","129.35.79.255","2166571008","2166575103","GB","United Kingdom"
"129.35.80.0","129.35.156.3","2166575104","2166594563","US","United States"
"129.35.156.4","129.35.156.4","2166594564","2166594564","DE","Germany"
"129.35.156.5","129.44.255.255","2166594565","2167209983","US","United States"
"129.45.0.0","129.45.127.255","2167209984","2167242751","DZ","Algeria"
"129.45.128.0","129.45.255.255","2167242752","2167275519","BF","Burkina Faso"
"129.46.0.0","129.55.255.255","2167275520","2167930879","US","United States"
"129.56.0.0","129.56.255.255","2167930880","2167996415","NG","Nigeria"
"129.57.0.0","129.59.255.255","2167996416","2168193023","US","United States"
"129.60.0.0","129.60.255.255","2168193024","2168258559","JP","Japan"
"129.61.0.0","129.66.255.255","2168258560","2168651775","US","United States"
"129.67.0.0","129.67.255.255","2168651776","2168717311","GB","United Kingdom"
"129.68.0.0","129.68.255.255","2168717312","2168782847","US","United States"
"129.69.0.0","129.70.255.255","2168782848","2168913919","DE","Germany"
"129.71.0.0","129.77.255.255","2168913920","2169372671","US","United States"
"129.78.0.0","129.78.255.255","2169372672","2169438207","AU","Australia"
"129.79.0.0","129.87.255.255","2169438208","2170028031","US","United States"
"129.88.0.0","129.88.255.255","2170028032","2170093567","FR","France"
"129.89.0.0","129.89.255.255","2170093568","2170159103","US","United States"
"129.90.0.0","129.90.255.255","2170159104","2170224639","VE","Venezuela"
"129.91.0.0","129.93.255.255","2170224640","2170421247","US","United States"
"129.94.0.0","129.94.255.255","2170421248","2170486783","AU","Australia"
"129.95.0.0","129.95.255.255","2170486784","2170552319","US","United States"
"129.96.0.0","129.96.255.255","2170552320","2170617855","AU","Australia"
"129.97.0.0","129.97.255.255","2170617856","2170683391","CA","Canada"
"129.98.0.0","129.99.255.255","2170683392","2170814463","US","United States"
"129.100.0.0","129.100.255.255","2170814464","2170879999","CA","Canada"
"129.101.0.0","129.101.255.255","2170880000","2170945535","US","United States"
"129.102.0.0","129.102.255.255","2170945536","2171011071","FR","France"
"129.103.0.0","129.103.255.255","2171011072","2171076607","DE","Germany"
"129.104.0.0","129.104.255.255","2171076608","2171142143","FR","France"
"129.105.0.0","129.121.255.255","2171142144","2172256255","US","United States"
"129.122.0.0","129.122.63.255","2172256256","2172272639","GH","Ghana"
"129.122.64.0","129.122.127.255","2172272640","2172289023","RE","Reunion"
"129.122.128.0","129.122.255.255","2172289024","2172321791","AO","Angola"
"129.123.0.0","129.124.255.255","2172321792","2172452863","US","United States"
"129.125.0.0","129.125.255.255","2172452864","2172518399","NL","Netherlands"
"129.126.0.0","129.126.255.255","2172518400","2172583935","SG","Singapore"
"129.127.0.0","129.127.255.255","2172583936","2172649471","AU","Australia"
"129.128.0.0","129.128.255.255","2172649472","2172715007","CA","Canada"
"129.129.0.0","129.129.255.255","2172715008","2172780543","CH","Switzerland"
"129.130.0.0","129.131.255.255","2172780544","2172911615","US","United States"
"129.132.0.0","129.132.255.255","2172911616","2172977151","CH","Switzerland"
"129.133.0.0","129.135.255.255","2172977152","2173173759","US","United States"
"129.136.0.0","129.136.255.255","2173173760","2173239295","JP","Japan"
"129.137.0.0","129.139.255.255","2173239296","2173435903","US","United States"
"129.140.0.0","129.140.255.255","2173435904","2173501439","MW","Malawi"
"129.141.0.0","129.141.255.255","2173501440","2173566975","US","United States"
"129.142.0.0","129.142.255.255","2173566976","2173632511","DK","Denmark"
