"160.0.0.0","160.0.127.255","2684354560","2684387327","MU","Mauritius"
"160.0.192.0","160.0.223.255","2684403712","2684411903","ZA","South Africa"
"160.1.0.0","160.3.255.255","2684420096","2684616703","US","United States"
"160.4.0.0","160.4.255.255","2684616704","2684682239","NZ","New Zealand"
"160.5.0.0","160.5.255.255","2684682240","2684747775","GB","United Kingdom"
"160.6.0.0","160.6.255.255","2684747776","2684813311","IE","Ireland"
"160.7.0.0","160.7.255.255","2684813312","2684878847","US","United States"
"160.8.0.0","160.8.255.255","2684878848","2684944383","SE","Sweden"
"160.9.0.0","160.9.255.255","2684944384","2685009919","GB","United Kingdom"
"160.10.0.0","160.10.255.255","2685009920","2685075455","US","United States"
"160.11.0.0","160.18.255.255","2685075456","2685599743","JP","Japan"
"160.19.0.0","160.19.31.255","2685599744","2685607935","US","United States"
"160.19.48.0","160.19.51.255","2685612032","2685613055","CN","China"
"160.19.52.0","160.19.55.255","2685613056","2685614079","TW","Taiwan"
"160.19.112.0","160.19.127.255","2685628416","2685632511","ZA","South Africa"
"160.19.208.0","160.19.219.255","2685652992","2685656063","CN","China"
"160.19.220.0","160.19.223.255","2685656064","2685657087","IN","India"
"160.20.0.0","160.20.11.255","2685665280","2685668351","IN","India"
"160.20.12.0","160.20.15.255","2685668352","2685669375","SG","Singapore"
"160.20.40.0","160.20.43.255","2685675520","2685676543","PH","Philippines"
"160.20.44.0","160.20.47.255","2685676544","2685677567","JP","Japan"
"160.20.48.0","160.20.51.255","2685677568","2685678591","CN","China"
"160.20.52.0","160.20.63.255","2685678592","2685681663","HK","Hong Kong"
"160.20.232.0","160.20.239.255","2685724672","2685726719","CA","Canada"
"160.21.0.0","160.21.255.255","2685730816","2685796351","JP","Japan"
"160.23.0.0","160.29.255.255","2685861888","2686320639","JP","Japan"
"160.31.0.0","160.37.255.255","2686386176","2686844927","US","United States"
"160.38.0.0","160.38.255.255","2686844928","2686910463","GB","United Kingdom"
"160.39.0.0","160.39.255.255","2686910464","2686975999","US","United States"
"160.40.0.0","160.40.255.255","2686976000","2687041535","GR","Greece"
"160.41.0.0","160.43.255.255","2687041536","2687238143","US","United States"
"160.44.0.0","160.44.230.215","2687238144","2687297239","DE","Germany"
"160.44.230.216","160.44.230.223","2687297240","2687297247","SE","Sweden"
"160.44.230.224","160.44.248.163","2687297248","2687301795","DE","Germany"
"160.44.248.164","160.44.248.164","2687301796","2687301796","EU","Europe"
"160.44.248.165","160.51.255.255","2687301797","2687762431","DE","Germany"
"160.52.0.0","160.52.255.255","2687762432","2687827967","AT","Austria"
"160.53.0.0","160.53.255.255","2687827968","2687893503","CH","Switzerland"
"160.54.0.0","160.58.255.255","2687893504","2688221183","DE","Germany"
"160.59.0.0","160.59.255.255","2688221184","2688286719","CH","Switzerland"
"160.60.0.0","160.60.255.255","2688286720","2688352255","DE","Germany"
"160.61.0.0","160.62.4.9","2688352256","2688418825","CH","Switzerland"
"160.62.4.10","160.62.4.10","2688418826","2688418826","EU","Europe"
"160.62.4.11","160.62.8.255","2688418827","2688420095","CH","Switzerland"
"160.62.9.0","160.62.9.255","2688420096","2688420351","US","United States"
"160.62.10.0","160.62.10.255","2688420352","2688420607","CN","China"
"160.62.11.0","160.62.11.255","2688420608","2688420863","CH","Switzerland"
"160.62.12.0","160.62.12.255","2688420864","2688421119","AU","Australia"
"160.62.13.0","160.62.13.255","2688421120","2688421375","AP","Asia/Pacific Region"
"160.62.14.0","160.63.255.255","2688421376","2688548863","CH","Switzerland"
"160.64.0.0","160.64.255.255","2688548864","2688614399","AU","Australia"
"160.65.0.0","160.65.255.255","2688614400","2688679935","US","United States"
"160.66.0.0","160.66.255.255","2688679936","2688745471","IT","Italy"
"160.67.0.0","160.68.255.255","2688745472","2688876543","NO","Norway"
"160.69.0.0","160.69.255.255","2688876544","2688942079","US","United States"
"160.70.0.0","160.70.255.255","2688942080","2689007615","DE","Germany"
"160.71.0.0","160.71.255.255","2689007616","2689073151","FI","Finland"
"160.72.0.0","160.73.255.255","2689073152","2689204223","US","United States"
"160.74.0.0","160.74.255.255","2689204224","2689269759","JP","Japan"
"160.75.0.0","160.75.255.255","2689269760","2689335295","TR","Turkey"
"160.76.0.0","160.76.255.255","2689335296","2689400831","US","United States"
"160.78.0.0","160.78.255.255","2689466368","2689531903","IT","Italy"
"160.79.0.0","160.79.15.255","2689531904","2689535999","US","United States"
"160.79.16.0","160.79.17.255","2689536000","2689536511","GB","United Kingdom"
"160.79.18.0","160.79.37.255","2689536512","2689541631","US","United States"
"160.79.38.0","160.79.38.255","2689541632","2689541887","GB","United Kingdom"
"160.79.39.0","160.79.53.255","2689541888","2689545727","US","United States"
"160.79.54.0","160.79.55.255","2689545728","2689546239","GB","United Kingdom"
"160.79.56.0","160.79.108.255","2689546240","2689559807","US","United States"
"160.79.109.0","160.79.109.255","2689559808","2689560063","GB","United Kingdom"
"160.79.110.0","160.79.133.255","2689560064","2689566207","US","United States"
"160.79.134.0","160.79.135.255","2689566208","2689566719","GB","United Kingdom"
"160.79.136.0","160.79.141.255","2689566720","2689568255","US","United States"
"160.79.142.0","160.79.143.255","2689568256","2689568767","GB","United Kingdom"
"160.79.144.0","160.79.213.255","2689568768","2689586687","US","United States"
"160.79.214.0","160.79.215.255","2689586688","2689587199","GB","United Kingdom"
"160.79.216.0","160.79.239.255","2689587200","2689593343","US","United States"
"160.79.240.0","160.79.241.255","2689593344","2689593855","GB","United Kingdom"
"160.79.242.0","160.79.242.255","2689593856","2689594111","US","United States"
"160.79.243.0","160.79.245.255","2689594112","2689594879","GB","United Kingdom"
"160.79.246.0","160.79.255.255","2689594880","2689597439","US","United States"
"160.80.0.0","160.80.255.255","2689597440","2689662975","IT","Italy"
"160.81.0.0","160.83.29.255","2689662976","2689801727","US","United States"
"160.83.30.0","160.83.30.176","2689801728","2689801904","EU","Europe"
"160.83.30.177","160.83.30.177","2689801905","2689801905","DE","Germany"
"160.83.30.178","160.83.30.255","2689801906","2689801983","EU","Europe"
"160.83.31.0","160.83.31.255","2689801984","2689802239","US","United States"
"160.83.32.0","160.83.33.255","2689802240","2689802751","GB","United Kingdom"
"160.83.34.0","160.83.35.255","2689802752","2689803263","TR","Turkey"
"160.83.36.0","160.83.63.255","2689803264","2689810431","GB","United Kingdom"
"160.83.64.0","160.83.96.255","2689810432","2689818879","US","United States"
"160.83.97.0","160.83.97.255","2689818880","2689819135","IN","India"
"160.83.98.0","160.83.103.255","2689819136","2689820671","US","United States"
"160.83.104.0","160.83.104.255","2689820672","2689820927","HK","Hong Kong"
"160.83.105.0","160.83.159.255","2689820928","2689835007","US","United States"
"160.83.160.0","160.83.160.255","2689835008","2689835263","AU","Australia"
"160.83.161.0","160.83.161.255","2689835264","2689835519","US","United States"
"160.83.162.0","160.83.162.255","2689835520","2689835775","AU","Australia"
"160.83.163.0","160.84.255.255","2689835776","2689925119","US","United States"
"160.85.0.0","160.85.255.255","2689925120","2689990655","CH","Switzerland"
"160.86.0.0","160.91.255.255","2689990656","2690383871","US","United States"
"160.92.0.0","160.92.255.255","2690383872","2690449407","FR","France"
"160.93.0.0","160.95.255.255","2690449408","2690646015","US","United States"
"160.96.0.0","160.96.255.255","2690646016","2690711551","SG","Singapore"
"160.97.0.0","160.97.255.255","2690711552","2690777087","IT","Italy"
"160.98.0.0","160.98.255.255","2690777088","2690842623","CH","Switzerland"
"160.99.0.0","160.99.255.255","2690842624","2690908159","RS","Serbia"
"160.100.0.0","160.100.255.255","2690908160","2690973695","GB","United Kingdom"
"160.101.0.0","160.102.255.255","2690973696","2691104767","US","United States"
"160.103.0.0","160.103.255.255","2691104768","2691170303","FR","France"
"160.104.0.0","160.104.255.255","2691170304","2691235839","GB","United Kingdom"
"160.106.0.0","160.106.255.255","2691301376","2691366911","CA","Canada"
"160.107.0.0","160.112.255.255","2691366912","2691760127","US","United States"
"160.114.0.0","160.114.255.255","2691825664","2691891199","HU","Hungary"
"160.115.0.0","160.119.255.255","2691891200","2692218879","ZA","South Africa"
"160.120.0.0","160.120.255.255","2692218880","2692284415","CI","Cote D'Ivoire"
"160.121.0.0","160.124.255.255","2692284416","2692546559","ZA","South Africa"
"160.125.0.0","160.151.255.255","2692546560","2694316031","US","United States"
"160.152.0.0","160.152.255.255","2694316032","2694381567","NG","Nigeria"
"160.153.0.0","160.153.255.255","2694381568","2694447103","US","United States"
"160.154.0.0","160.155.255.255","2694447104","2694578175","CI","Cote D'Ivoire"
"160.156.0.0","160.159.255.255","2694578176","2694840319","TN","Tunisia"
"160.160.0.0","160.179.255.255","2694840320","2696151039","MA","Morocco"
"160.180.0.0","160.180.255.255","2696151040","2696216575","IT","Italy"
"160.181.0.0","160.181.255.255","2696216576","2696282111","BG","Bulgaria"
"160.182.0.0","160.183.255.255","2696282112","2696413183","GM","Gambia"
"160.184.0.0","160.184.255.255","2696413184","2696478719","US","United States"
"160.185.0.0","160.186.255.255","2696478720","2696609791","JP","Japan"
"160.188.0.0","160.202.7.255","2696675328","2697594879","JP","Japan"
"160.202.8.0","160.202.15.255","2697594880","2697596927","IN","India"
"160.202.32.0","160.202.35.255","2697601024","2697602047","KH","Cambodia"
"160.202.36.0","160.202.39.255","2697602048","2697603071","IN","India"
"160.202.40.0","160.202.43.255","2697603072","2697604095","ID","Indonesia"
"160.202.44.0","160.202.47.255","2697604096","2697605119","HK","Hong Kong"
"160.202.48.0","160.202.55.255","2697605120","2697607167","IN","India"
"160.202.56.0","160.202.59.255","2697607168","2697608191","HK","Hong Kong"
"160.202.60.0","160.202.63.255","2697608192","2697609215","CN","China"
"160.202.64.0","160.202.127.255","2697609216","2697625599","US","United States"
"160.202.128.0","160.202.131.255","2697625600","2697626623","AU","Australia"
"160.202.132.0","160.202.135.255","2697626624","2697627647","JP","Japan"
"160.202.136.0","160.202.136.255","2697627648","2697627903","US","United States"
"160.202.137.0","160.202.139.255","2697627904","2697628671","SG","Singapore"
"160.202.144.0","160.202.147.255","2697629696","2697630719","BD","Bangladesh"
"160.202.148.0","160.202.155.255","2697630720","2697632767","CN","China"
"160.202.156.0","160.202.159.255","2697632768","2697633791","IN","India"
"160.202.160.0","160.202.163.255","2697633792","2697634815","KR","Korea, Republic of"
"160.202.164.0","160.202.166.255","2697634816","2697635583","US","United States"
"160.202.167.0","160.202.167.255","2697635584","2697635839","NZ","New Zealand"
"160.202.168.0","160.202.171.255","2697635840","2697636863","CN","China"
"160.202.172.0","160.202.179.255","2697636864","2697638911","KR","Korea, Republic of"
"160.202.180.0","160.202.211.255","2697638912","2697647103","IN","India"
"160.202.212.0","160.202.255.255","2697647104","2697658367","CN","China"
"160.203.0.0","160.204.255.255","2697658368","2697789439","JP","Japan"
"160.205.0.0","160.205.255.255","2697789440","2697854975","US","United States"
"160.206.0.0","160.206.127.255","2697854976","2697887743","AU","Australia"
"160.206.128.0","160.206.128.255","2697887744","2697887999","ES","Spain"
"160.206.129.0","160.206.135.255","2697888000","2697889791","AU","Australia"
"160.206.136.0","160.206.143.255","2697889792","2697891839","US","United States"
"160.206.144.0","160.206.144.255","2697891840","2697892095","GB","United Kingdom"
"160.206.145.0","160.206.147.255","2697892096","2697892863","AU","Australia"
"160.206.148.0","160.206.153.255","2697892864","2697894399","US","United States"
"160.206.154.0","160.206.255.255","2697894400","2697920511","AU","Australia"
