"197.0.0.0","197.31.255.255","3305111552","3307208703","TN","Tunisia"
"197.32.0.0","197.63.255.255","3307208704","3309305855","EG","Egypt"
"197.64.0.0","197.111.255.255","3309305856","3312451583","ZA","South Africa"
"197.112.0.0","197.119.255.255","3312451584","3312975871","DZ","Algeria"
"197.120.0.0","197.127.255.255","3312975872","3313500159","EG","Egypt"
"197.128.0.0","197.131.255.255","3313500160","3313762303","MA","Morocco"
"197.132.0.0","197.135.255.255","3313762304","3314024447","EG","Egypt"
"197.136.0.0","197.139.255.255","3314024448","3314286591","KE","Kenya"
"197.140.0.0","197.143.255.255","3314286592","3314548735","DZ","Algeria"
"197.144.0.0","197.147.19.255","3314548736","3314750463","MA","Morocco"
"197.147.20.0","197.147.23.255","3314750464","3314751487","US","United States"
"197.147.24.0","197.147.255.255","3314751488","3314810879","MA","Morocco"
"197.148.0.0","197.148.63.255","3314810880","3314827263","AO","Angola"
"197.148.64.0","197.148.71.255","3314827264","3314829311","ZA","South Africa"
"197.148.72.0","197.148.79.255","3314829312","3314831359","GM","Gambia"
"197.148.80.0","197.148.87.255","3314831360","3314833407","NG","Nigeria"
"197.148.88.0","197.148.95.255","3314833408","3314835455","AO","Angola"
"197.148.96.0","197.148.127.255","3314835456","3314843647","TG","Togo"
"197.148.128.0","197.148.191.255","3314843648","3314860031","MG","Madagascar"
"197.148.192.0","197.148.223.255","3314860032","3314868223","CI","Cote D'Ivoire"
"197.148.224.0","197.148.255.255","3314868224","3314876415","GH","Ghana"
"197.149.0.0","197.149.63.255","3314876416","3314892799","MG","Madagascar"
"197.149.64.0","197.149.127.255","3314892800","3314909183","NG","Nigeria"
"197.149.128.0","197.149.131.255","3314909184","3314910207","TD","Chad"
"197.149.132.0","197.149.135.255","3314910208","3314911231","NG","Nigeria"
"197.149.136.0","197.149.139.255","3314911232","3314912255","CG","Congo"
"197.149.140.0","197.149.143.255","3314912256","3314913279","BI","Burundi"
"197.149.144.0","197.149.147.255","3314913280","3314914303","ZA","South Africa"
"197.149.148.0","197.149.151.255","3314914304","3314915327","AO","Angola"
