"5.0.0.0","5.0.255.255","83886080","83951615","SY","Syrian Arab Republic"
"5.1.0.0","5.1.31.255","83951616","83959807","UA","Ukraine"
"5.1.32.0","5.1.39.255","83959808","83961855","ES","Spain"
"5.1.40.0","5.1.40.255","83961856","83962111","KW","Kuwait"
"5.1.41.0","5.1.41.255","83962112","83962367","SA","Saudi Arabia"
"5.1.42.0","5.1.42.255","83962368","83962623","BH","Bahrain"
"5.1.43.0","5.1.43.255","83962624","83962879","LB","Lebanon"
"5.1.44.0","5.1.44.255","83962880","83963135","AE","United Arab Emirates"
"5.1.45.0","5.1.45.255","83963136","83963391","QA","Qatar"
"5.1.46.0","5.1.46.255","83963392","83963647","OM","Oman"
"5.1.47.0","5.1.47.255","83963648","83963903","JO","Jordan"
"5.1.48.0","5.1.55.255","83963904","83965951","RU","Russian Federation"
"5.1.56.0","5.1.63.255","83965952","83967999","CZ","Czech Republic"
"5.1.64.0","5.1.67.255","83968000","83969023","DE","Germany"
"5.1.68.0","5.1.69.255","83969024","83969535","GB","United Kingdom"
"5.1.70.0","5.1.82.255","83969536","83972863","DE","Germany"
"5.1.83.0","5.1.83.255","83972864","83973119","GB","United Kingdom"
"5.1.84.0","5.1.87.255","83973120","83974143","DE","Germany"
"5.1.88.0","5.1.88.255","83974144","83974399","GB","United Kingdom"
"5.1.89.0","5.1.95.255","83974400","83976191","DE","Germany"
"5.1.96.0","5.1.103.255","83976192","83978239","CH","Switzerland"
"5.1.104.0","5.1.111.255","83978240","83980287","IQ","Iraq"
"5.1.112.0","5.1.119.255","83980288","83982335","CH","Switzerland"
"5.1.120.0","5.1.255.255","83982336","84017151","DE","Germany"
"5.2.0.0","5.2.15.255","84017152","84021247","IT","Italy"
"5.2.16.0","5.2.23.255","84021248","84023295","GB","United Kingdom"
"5.2.24.0","5.2.31.255","84023296","84025343","ES","Spain"
"5.2.32.0","5.2.63.255","84025344","84033535","RU","Russian Federation"
"5.2.64.0","5.2.79.255","84033536","84037631","NL","Netherlands"
