"76.8.32.0","76.8.47.255","1275600896","1275604991","BM","Bermuda"
"76.8.48.0","76.8.111.255","1275604992","1275621375","US","United States"
"76.8.112.0","76.8.127.255","1275621376","1275625471","CA","Canada"
"76.8.128.0","76.8.255.255","1275625472","1275658239","US","United States"
"76.9.0.0","76.9.0.255","1275658240","1275658495","GB","United Kingdom"
"76.9.1.0","76.9.2.255","1275658496","1275659007","US","United States"
"76.9.3.0","76.9.3.255","1275659008","1275659263","GB","United Kingdom"
"76.9.4.0","76.9.26.255","1275659264","1275665151","US","United States"
"76.9.27.0","76.9.27.255","1275665152","1275665407","UA","Ukraine"
"76.9.28.0","76.9.31.255","1275665408","1275666431","US","United States"
"76.9.32.0","76.9.63.255","1275666432","1275674623","CA","Canada"
"76.9.64.0","76.9.191.255","1275674624","1275707391","US","United States"
"76.9.192.0","76.9.207.255","1275707392","1275711487","CA","Canada"
"76.9.208.0","76.9.211.255","1275711488","1275712511","US","United States"
"76.9.212.0","76.9.223.255","1275712512","1275715583","CA","Canada"
"76.9.224.0","76.10.127.255","1275715584","1275756543","US","United States"
"76.10.128.0","76.10.191.255","1275756544","1275772927","CA","Canada"
"76.10.192.0","76.10.255.255","1275772928","1275789311","US","United States"
"76.11.0.0","76.11.127.255","1275789312","1275822079","CA","Canada"
"76.11.128.0","76.12.226.55","1275822080","1275912759","US","United States"
"76.12.226.56","76.12.226.79","1275912760","1275912783","CA","Canada"
"76.12.226.80","76.63.255.255","1275912784","1279262719","US","United States"
"76.64.0.0","76.71.255.255","1279262720","1279787007","CA","Canada"
"76.72.0.0","76.72.239.255","1279787008","1279848447","US","United States"
"76.72.240.0","76.72.255.255","1279848448","1279852543","PR","Puerto Rico"
"76.73.0.0","76.74.127.255","1279852544","1279950847","US","United States"
"76.74.128.0","76.74.128.255","1279950848","1279951103","CA","Canada"
"76.74.129.0","76.74.129.127","1279951104","1279951231","US","United States"
"76.74.129.128","76.74.132.255","1279951232","1279952127","CA","Canada"
"76.74.133.0","76.74.133.255","1279952128","1279952383","US","United States"
"76.74.134.0","76.74.135.255","1279952384","1279952895","CA","Canada"
"76.74.136.0","76.74.136.255","1279952896","1279953151","US","United States"
"76.74.137.0","76.74.138.255","1279953152","1279953663","CA","Canada"
"76.74.139.0","76.74.139.95","1279953664","1279953759","US","United States"
"76.74.139.96","76.74.139.127","1279953760","1279953791","CA","Canada"
"76.74.139.128","76.74.161.255","1279953792","1279959551","US","United States"
"76.74.162.0","76.74.162.255","1279959552","1279959807","CA","Canada"
"76.74.163.0","76.74.165.159","1279959808","1279960479","US","United States"
"76.74.165.160","76.74.165.191","1279960480","1279960511","CA","Canada"
"76.74.165.192","76.74.183.255","1279960512","1279965183","US","United States"
"76.74.184.0","76.74.187.255","1279965184","1279966207","CA","Canada"
"76.74.188.0","76.74.191.255","1279966208","1279967231","US","United States"
"76.74.192.0","76.74.192.255","1279967232","1279967487","CA","Canada"
"76.74.193.0","76.74.195.127","1279967488","1279968127","US","United States"
"76.74.195.128","76.74.195.255","1279968128","1279968255","CA","Canada"
"76.74.196.0","76.74.200.63","1279968256","1279969343","US","United States"
"76.74.200.64","76.74.200.127","1279969344","1279969407","CA","Canada"
"76.74.200.128","76.74.201.127","1279969408","1279969663","US","United States"
"76.74.201.128","76.74.201.255","1279969664","1279969791","CA","Canada"
"76.74.202.0","76.74.202.255","1279969792","1279970047","US","United States"
"76.74.203.0","76.74.203.255","1279970048","1279970303","CA","Canada"
"76.74.204.0","76.74.204.255","1279970304","1279970559","US","United States"
"76.74.205.0","76.74.205.255","1279970560","1279970815","CA","Canada"
"76.74.206.0","76.74.206.127","1279970816","1279970943","US","United States"
"76.74.206.128","76.74.206.255","1279970944","1279971071","CA","Canada"
"76.74.207.0","76.74.208.255","1279971072","1279971583","US","United States"
"76.74.209.0","76.74.210.255","1279971584","1279972095","CA","Canada"
"76.74.211.0","76.74.218.95","1279972096","1279973983","US","United States"
"76.74.218.96","76.74.218.127","1279973984","1279974015","IN","India"
"76.74.218.128","76.74.223.255","1279974016","1279975423","US","United States"
"76.74.224.0","76.74.229.255","1279975424","1279976959","CA","Canada"
"76.74.230.0","76.74.230.255","1279976960","1279977215","US","United States"
"76.74.231.0","76.74.235.255","1279977216","1279978495","CA","Canada"
"76.74.236.0","76.74.240.255","1279978496","1279979775","US","United States"
"76.74.241.0","76.74.241.255","1279979776","1279980031","CA","Canada"
"76.74.242.0","76.74.242.255","1279980032","1279980287","US","United States"
"76.74.243.0","76.74.247.255","1279980288","1279981567","CA","Canada"
"76.74.248.0","76.75.63.255","1279981568","1279999999","US","United States"
"76.75.64.0","76.75.191.255","1280000000","1280032767","CA","Canada"
"76.75.192.0","76.75.223.255","1280032768","1280040959","US","United States"
"76.75.224.0","76.75.255.255","1280040960","1280049151","CA","Canada"
"76.76.0.0","76.76.95.255","1280049152","1280073727","US","United States"
"76.76.96.0","76.76.127.255","1280073728","1280081919","CA","Canada"
"76.76.128.0","76.76.159.255","1280081920","1280090111","US","United States"
"76.76.160.0","76.76.163.255","1280090112","1280091135","AG","Antigua and Barbuda"
"76.76.164.0","76.76.167.255","1280091136","1280092159","VG","Virgin Islands, British"
"76.76.168.0","76.76.171.255","1280092160","1280093183","KN","Saint Kitts and Nevis"
"76.76.172.0","76.76.175.255","1280093184","1280094207","VG","Virgin Islands, British"
"76.76.176.0","76.76.179.255","1280094208","1280095231","AI","Anguilla"
"76.76.180.0","76.76.181.255","1280095232","1280095743","KN","Saint Kitts and Nevis"
"76.76.182.0","76.76.187.255","1280095744","1280097279","AG","Antigua and Barbuda"
"76.76.188.0","76.76.189.255","1280097280","1280097791","LC","Saint Lucia"
"76.76.190.0","76.76.191.255","1280097792","1280098303","AG","Antigua and Barbuda"
"76.76.192.0","76.76.207.255","1280098304","1280102399","PR","Puerto Rico"
"76.76.208.0","76.77.47.255","1280102400","1280126975","US","United States"
"76.77.48.0","76.77.63.255","1280126976","1280131071","JP","Japan"
"76.77.64.0","76.77.95.255","1280131072","1280139263","CA","Canada"
"76.77.96.0","76.78.241.255","1280139264","1280242175","US","United States"
"76.78.242.0","76.78.243.255","1280242176","1280242687","CA","Canada"
"76.78.244.0","76.255.255.255","1280242688","1291845631","US","United States"
